model_name,seq_id_1,seq_id_2,ngram_similarity_within_group,lcs_ratio_within_group
Agent,seq_0,seq_1,0.8899082568807339,0.9770642201834863
Agent,seq_0,seq_2,0.8807339449541285,0.981651376146789
Agent,seq_0,seq_3,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_4,0.95260663507109,0.9908256880733946
Agent,seq_0,seq_5,0.9252336448598131,0.9862385321100917
Agent,seq_0,seq_6,0.8513513513513513,0.9724770642201835
Agent,seq_0,seq_7,0.8853211009174312,0.981651376146789
Agent,seq_0,seq_8,0.8767123287671232,0.9770642201834863
Agent,seq_0,seq_9,0.8311111111111111,0.9678899082568807
Agent,seq_0,seq_10,0.8721461187214612,0.9770642201834863
Agent,seq_0,seq_11,0.8727272727272727,0.9770642201834863
Agent,seq_0,seq_12,0.9162790697674419,0.9862385321100917
Agent,seq_0,seq_13,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_14,0.9433962264150944,0.9908256880733946
Agent,seq_0,seq_15,0.9342723004694836,0.9908256880733946
Agent,seq_0,seq_16,0.9027777777777778,0.981651376146789
Agent,seq_0,seq_17,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_18,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_19,0.9433962264150944,0.9908256880733946
Agent,seq_0,seq_20,0.9027777777777778,0.9862385321100917
Agent,seq_0,seq_21,0.8727272727272727,0.9770642201834863
Agent,seq_0,seq_22,0.9074074074074074,0.981651376146789
Agent,seq_0,seq_23,0.8727272727272727,0.981651376146789
Agent,seq_0,seq_24,0.9209302325581395,0.9862385321100917
Agent,seq_0,seq_25,0.8721461187214612,0.9770642201834863
Agent,seq_0,seq_26,0.9339622641509434,0.9908256880733946
Agent,seq_0,seq_27,0.8986175115207373,0.9862385321100917
Agent,seq_0,seq_28,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_29,0.9252336448598131,0.9908256880733946
Agent,seq_0,seq_30,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_31,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_32,0.8558558558558559,0.9770642201834863
Agent,seq_0,seq_33,0.9342723004694836,0.9908256880733946
Agent,seq_0,seq_34,0.9386792452830188,0.9908256880733946
Agent,seq_0,seq_35,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_36,0.8642533936651584,0.9770642201834863
Agent,seq_0,seq_37,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_38,0.9205607476635514,0.9862385321100917
Agent,seq_0,seq_39,0.8853211009174312,0.981651376146789
Agent,seq_0,seq_40,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_41,0.8681818181818182,0.9770642201834863
Agent,seq_0,seq_42,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_43,0.9252336448598131,0.9862385321100917
Agent,seq_0,seq_44,0.9162790697674419,0.9862385321100917
Agent,seq_0,seq_45,0.9339622641509434,0.9908256880733946
Agent,seq_0,seq_46,0.8807339449541285,0.981651376146789
Agent,seq_0,seq_47,0.8513513513513513,0.9724770642201835
Agent,seq_0,seq_48,0.8642533936651584,0.9770642201834863
Agent,seq_0,seq_49,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_50,0.8558558558558559,0.9770642201834863
Agent,seq_0,seq_51,0.8681818181818182,0.9770642201834863
Agent,seq_0,seq_52,0.9162790697674419,0.9862385321100917
Agent,seq_0,seq_53,0.8767123287671232,0.9770642201834863
Agent,seq_0,seq_54,0.9433962264150944,0.9908256880733946
Agent,seq_0,seq_55,0.9027777777777778,0.981651376146789
Agent,seq_0,seq_56,0.9116279069767442,0.9862385321100917
Agent,seq_0,seq_57,0.9571428571428572,0.9908256880733946
Agent,seq_0,seq_58,0.9433962264150944,0.9908256880733946
Agent,seq_0,seq_59,0.9252336448598131,0.9862385321100917
Agent,seq_0,seq_60,0.8940092165898618,0.981651376146789
Agent,seq_0,seq_61,0.8642533936651584,0.9770642201834863
Agent,seq_0,seq_62,0.9252336448598131,0.9862385321100917
Agent,seq_0,seq_63,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_64,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_65,0.8899082568807339,0.9770642201834863
Agent,seq_0,seq_66,0.8767123287671232,0.9770642201834863
Agent,seq_0,seq_67,0.8986175115207373,0.981651376146789
Agent,seq_0,seq_68,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_69,0.8468468468468469,0.9678899082568807
Agent,seq_0,seq_70,0.8230088495575221,0.9724770642201835
Agent,seq_0,seq_71,0.852017937219731,0.9771689497716894
Agent,seq_0,seq_72,0.8853211009174312,0.981651376146789
Agent,seq_0,seq_73,0.8230088495575221,0.9678899082568807
Agent,seq_0,seq_74,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_75,0.8986175115207373,0.981651376146789
Agent,seq_0,seq_76,0.8681818181818182,0.9770642201834863
Agent,seq_0,seq_77,0.8475336322869955,0.9724770642201835
Agent,seq_0,seq_78,0.8727272727272727,0.9770642201834863
Agent,seq_0,seq_79,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_80,0.8475336322869955,0.9724770642201835
Agent,seq_0,seq_81,0.9386792452830188,0.9908256880733946
Agent,seq_0,seq_82,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_83,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_84,0.8558558558558559,0.9770642201834863
Agent,seq_0,seq_85,0.8940092165898618,0.981651376146789
Agent,seq_0,seq_86,0.8475336322869955,0.9770642201834863
Agent,seq_0,seq_87,0.8727272727272727,0.9770642201834863
Agent,seq_0,seq_88,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_89,0.8899082568807339,0.981651376146789
Agent,seq_0,seq_90,0.8642533936651584,0.9770642201834863
Agent,seq_0,seq_91,0.8888888888888888,0.981651376146789
Agent,seq_0,seq_92,0.8767123287671232,0.9770642201834863
Agent,seq_0,seq_93,0.8944954128440367,0.9817351598173516
Agent,seq_0,seq_94,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_95,0.9252336448598131,0.9908256880733946
Agent,seq_0,seq_96,0.8986175115207373,0.9862385321100917
Agent,seq_0,seq_97,0.8930232558139535,0.9770642201834863
Agent,seq_0,seq_98,0.8392857142857143,0.9724770642201835
Agent,seq_0,seq_99,0.8986175115207373,0.9862385321100917
Agent,seq_0,seq_100,0.8552036199095022,0.9724770642201835
Agent,seq_0,seq_101,0.9069767441860465,0.9862385321100917
Agent,seq_0,seq_102,0.8558558558558559,0.9770642201834863
Agent,seq_0,seq_103,0.8392857142857143,0.9724770642201835
Agent,seq_0,seq_104,0.9116279069767442,0.9862385321100917
Agent,seq_0,seq_105,0.8940092165898618,0.981651376146789
Agent,seq_0,seq_106,0.9074074074074074,0.9862385321100917
Agent,seq_0,seq_107,0.8986175115207373,0.981651376146789
Agent,seq_0,seq_108,0.9252336448598131,0.9908256880733946
Agent,seq_0,seq_109,0.8727272727272727,0.981651376146789
Agent,seq_0,seq_110,0.8812785388127854,0.981651376146789
Agent,seq_0,seq_111,0.8558558558558559,0.9770642201834863
